PROVIDER NUMBER,PROVIDER NAME,ADDRESS,Phone No
6924,ETIHAD OPTICAL VISION L L C � SHJ.BR (SHARJAH), - ,+971 65743132
7036,DUBAI OPTICAL - AL ZAHIA (SHARJAH),"A046A Ground Floor, Al Zahia City Centre, Sharjah - ",
1177,HAMAD PHARMACY LTD (SHARJAH),"Block B, Shahba Complex Bldg No 1. - ","06-5582800 ,06-5914444"
1232,BAIT AL MAQDES PHARMACY (SHARJAH),"Abdulla Dosari Building, Near Pizza Hutt,Wahda street, Majaz - ",+9716-530 9963 (Al Bustan Pharmacy)
1288,HARAMAIN PHARMACY-MOOPENS (SHARJAH), - ,+9716-5316779
1342,CO-OPERATIVE PHARMACY (SHARJAH),"Near Concorde Cinema, Al Zahraa street, sharjah - ",+9716-5613392
1356,AL NIDAA PHARMACY L.L.C (SHARJAH),"NEAR NATIONAL PAINTS, SHARJAH - ",+9716-5348151
1385,MILLENNIUM PHARMACY (SHARJAH),"Shop No 3 & 4, Al Souq Building, next to Bank Saderat Iran, Al Arouba Street, Rolla, Sharjah, UAE - ",+9716-5689416
1402,SHARJAH PHARMACY LTD - SHJ.BR (SHARJAH),"Shop no: 2, Al Ghuwair Bldg, Next to Hadi exchange, Behind joy Alukkas - ","06-5623850 ,06-5914444"
1403,MEERA PHARMACY (SHARJAH),"Humaid sheiba bldg, Near Municipality R/A, Qassimia Road - ",+9716-5740700
1405,NEW HAMAD PHARMACY (SHARJAH),"New Bank Bldg,AL Qassemi hosp.signal(near cosmolaser med.cen)Samnan,sharjah - ",+9716-5673388
1499,NEW MEDICAL CENTRE PHARMACY (SHARJAH),"Bel Resheed Tower, on the Buhairah Corniche, next to Crystal Plaza, opposite the Marbella Resort in - ",+9716-5758000
1513,W.WILSON PHARMACY (SHARJAH),"101, Al Burj Building,Opposite Al Taawun Mall, - ",+9716- 5771757
1561,SHAMA PHARMACY (SHARJAH),"Sheikh Zayed Street, Marina Scape - ",009714 - 4474800
1569,MODERN BAIT ALMAQDES PHARMCYLLC(SHARJAH),"Hasan Babab hasan building, End of Wahdah Street, AL Khulafa'a Al Rashideen Bridge - ",+9716-555 2070
1570,AL BUSTAN PHARMACY L.L.C (SHARJAH),"Ali Al Owais Building, Malaka street, Near Al Nahda Park , Behind Ansar Mall - ",+9716-530 9963
1571,BAIT ALMAQDES JADEEDAH PHARMACY(SHARJAH),"aL Mazyunah Building, Abu shagarah, Opp: To Abu shagarah park - ",+9716-548 6100
1820,GRAND HAMAD PHARMACY LTD (SHARJAH),SHARJAH - ,"06-5544050 ,06-5914444"
1854,BORJ SARAH PHARMACY (SHARJAH),"Ground Floor, Sara Tower,Al Majaz,Buhaira Corniche, - ",009716 - 5564651
1896,ALFARES PHARMACY (SHARJAH),"Zakhirl tower , Al Taawan Road, Opp , Al Taawan Mall , Al Mamzer - ",009176 -5304213
1924,ALNAKHEEL HOSPITAL PHARMACY (SHARJAH),"3rd Floor, Rolla Mall,Al Arouba Street, - ",009716 - 5618899
2074,BAWABAT AL DAWAA PHARMACY (SHARJAH),"Near Adnoc Petrol Station,Al Khan Street, - ",009716 - 5546137
2244,RAWABINA  PHARMACY  (SHARJAH),"Al Zamalek Bldg. Beside Megamart Sprmt, Al Nad, Al Qasimia - ",009716 - 5519654
2246,SUPERCARE PHARMACY 1 (SHARJAH),"Sahara Center, Al Nahda, Sharjah, UAE - ",06-5320383
2342,NOORA PHARMACY (SHARJAH),"Shop No: 9, Mabrookah Bldg,, Opp. SIMCO, Near Invest Bank Branch, - ",009716 - 5422188
2343,NOORA AL JADEEDA PHARMACY (SHARJAH),"University Road, Industrial Area 17,Opp.Madina Supermarket, Sharjah, - ",009716 5427878
2344,AL WAFA PHARMACY  (SHARJAH),"Near Lacnor Diary, Double Cola Road, Industrial Area 4, Sharjah - ",009716 -  5331139
2345,YASMIN PHARMACY (SHARJAH),"Yasmin Building, Opposite to Sharjah Cricket Stadium, Sharjah - ",009716 -  5584662
2346,AL MUSTAQBAL PHARMACY  (SHARJAH),"Industrial Area 11 (Near Bin Laden R/A), Sharjah, License - ",009716 -  5349500
2347,NEW AL WAFA  PHARMACY  (SHARJAH),"Sh.Faisal Al Qassemi Bldg, Kalba Road, Industrial area No.15, Sharjah - ",009716 - 5397282
2348,AL DARARY  PHARMACY (SHARJAH),"Khan Saheb building,1st Ind. Area,Near Pakistani Mosque,& City Center,Sharjah, - ",009716  5397282
2434,AL HIKMA PHARMACY  (SHARJAH),"Near Madafi Roundabout & Fire Station, Al Buteena Area, - ",009716 -5657268
2443,DELMON PHARMACY (SHARJAH),"Al Faris Tower,Near Mashreq Bank, Buhaira Corniche, - ",009716 - 5504331
2489,SALIM MEDICAL CENTER PHARMACY(SHARJAH),"AL SHARQ STREET , EXTENSION TO AL AOROUBA ROAD TOWARDS AJMAN, SHARJAH,U.A.E - ",009716 - 5215665
2746,DAR AL DAWAA LLC  PHARMACY (SHARJAH),"Near Prime Tower Hotel, Behind Emax, Sa'ad Bin Zayd Street, Abu Shagara, Sharjah - ",009716 - 5449544
2769,AL FURQAN PHARMACY (SHARJAH),"Shop 9, Ground Floor, Mattar Bldg, Al Madam, Sharjah - ",009716 - 8861030
2780,BILAL PHARMACY (SHARJAH),"Opposite Adnoc Petrol Station, Industrial Area No: 2, Caterpillar Road - ",009716 -  5328558
2933,AL WASHAH PHARMACY (SHARJAH),"Ground Floor, Ali Bldg, Beside Fruit & Vegetable Market  Falaj Al Mualla Road, Al Dhaid, - ",009716 - 8833240
2935,AKNAF BAIT AL MAQDES PHARMACY(SHARJAH),"Shop #1 Al Ezz Bin Abdul Salem St, Al Naser Plaza Bldg, Al Majaz, - ",009716 - 5500602
2936,AL TAJ PHARMCY LLC (SHARJAH),": Al Majaz Northern Park St. Al Majaz, Sharja - ",009716 - 5444322
3008,ANWAR BAIT AL MAQDES PHALLC  (SHARJAH),"Ewan Bldg, Back side of University City Road, Muwaileh, Sharjah - ",009716 - 5426300
3013,AL SHAM PHARMACY (SHARJAH),Sharjah  Al Qasmiyah Mega Mall - ,009716 - 5748288
3051,AL ELAJ PHARMACY LLC (SHARJAH),"Al Shahba Plaza, Wasit Street, Sharjah - ",009716 - 5583058
3059,RUKHN AL JAWDAH PHARMACY (SHARJAH),"Behind Ansar Mall, Al Nahda, Sharjah - ",009716 - 5255644
3060,AL TAQWA PHARMACY (SHARJAH),"Abdul Aziz Al Majed Building, Al Nahada Street, Sharjah, - ",009716 - 5319211
3061,AL KHAIR CUMMUNITY PHARMACY (SHARJAH), - ,009716 - 5504438
3078,CENTRAL PRIVATE HOSPITAL PHARMACY(SHARJAH),"Opposite Clock Tower, Sheikh Zayed Street, Maysaloon, - ",009716 -   5639900
3080,AL BURHAN PHARMACY (SHARJAH),Saeed Hilal Bin Tarraf Building Grounf Floor Shop No 13. Sharjah - Kalba - ,009716 - 5438500
3081,AL QUASIR PHARMACY (SHARJAH),"Shk. Zayed Street, Clock Tower - ",009716 - 5635775
3089,AL MANARA P AMERICAN UNIVIRSITY (SHARJAH,"American University, University City Road, Sharjah - ",009716 - 5589004
3090,MANARA ALMURQAB PHARMACY (SHARJAH),"Al Sharq St. Al Matajer Mall between KFC and Sharjah Police Headquarters, Sharjah - ",09716 -  5213471
3092,MANARA AL JURAINAH PHARMACY(SHARJAH),"University Road, opposite University Hospital Sharjah, Sharjah - ",009716 - 5453206
3093,AL MANARA AL CORNICHE PHARMACY (SHARJAH),Corniche street. Beside burgerking near Sharjah Corniche Hospital - ,009716  - 5514180
3141,GARDEN PHARMACY (SHARJAH),NEXT TO JOY ALUKKAS CENTER - ,009716 -5211727
3142,MOTHERCARE PHARMACY (SHARJAH),"NEAR MASJID, BACK SIDE OF SHARJAH CEMENT FACTORY - ",009716 - 5360122
3144,ATLAS PHARMACY (SHARJAH),"NEAR TO LULU SHOPPING CENTER, ROLLA,SHARJAH - ",009716 - 5235676
3145,AL SAJAA PHARMACY (SHARJAH),OPP. SHARJAH CEMENT FACTORY - ,009716 - 5310199
3146,AL QASSIMIAH PHARMACY (SHARJAH),"NEAR TO QASSMIAH MEDICAL CENTER, AL DHAID ROAD - ",009716 - 5310177
3153,AL NUZHA COMMUNITY PHARMACY (SHARJAH),Corniche Al Buhaira - ,009716 - 545 4282
3164,RASHA PHARMACY (SHARJAH),NEXT TO PREMIER MEDICAL CENTER - ,009716 - 5625889
3168,AL RAYAN PHARMACY (SHARJAH),"NEAR AL MINHA MEDICAL CENTER, ABU SHAGARA - ",009716 - 5509475
3365,AL MANARA AL NASRIYA PHARMACY (SHARJAH),Sharjah - ,009716 - 5455600
3540,THUMBAY PHARMACY LLC BRANCH 3 (SHARJAH),"Next To National Paint Round About, Muwaileh, Sharjah - ",009716 - 5356497
3624,BOOTS SAHARA PHARMACY  (SHARJAH),"Sahara Centre, Unit 114E, Sharjah - ",009716 - 5316297
3625,BOOTS SHARJAH CITY CENTRE (SHARJAH),"Sharjah City Centre, 1st floor, Al Wahda Street, Sharjah - ",009716 - 5378835
3626,BOOTS MEGA MALL PHARMACY (SHARJAH),"Sharjah Mega Mall, 1st Floor, Sharjah - ",009716 - 5449440
3802,ABWAB BAIT ALMAQDES PHARMACY (SHARJAH),"Al Khan St.,opposite Arcadia Hotel Suite - ",009716 - 5565363
4083,ENJAB HOSPITAL PHARMACY (SHARJAH),"6TH FLOOR, AL DURRAH TOWER, NEXT TO ALFARDAN CENTRE,BUHAIRA CORNICHE ROAD,SHARJAH - ",06-5563433
4097,MEDICINA 26 PHARMACY (SHARJAH),"SAFEER MARKET, AL KHAN, SHARJAH - ",06 526 5598
4124,HUSSAIN PHARMACY (SHARJAH),"ABU SHAGHARA  K.F.S,BEHIND KIA MOTORS,SHARJAH - ",06-5551804
4140,BAIT AL DAWAA PHARMACY (SHARJAH),"SHARJAH - AL KHAN AREA - AL TAAWUN STREET-LOTAH BUILDING  , SAME BUILDING OF AL ENSARI EXCHANGE - ",97165772511
4305,WAJEAT AL KHOOR PHARMACY LLC (SHARJAH),"Buhaira Corniche ,Riviera Tower , Sharjah UAE. - ",(06)-5373883
4364,AL FAROOQ PHARMACY LLC (SHARJAH),"Juma Al Majid Bldg., Near Reem Al Nahda Medical Centre, Al Nahda, Sharjah - ",00971 6 5315343
4409,ASTER PHARMACY 203 (SHARJAH),"Shop No.1, Arab Doctor Building, Al Taawun Area, Sharjah - ",06-5396955
4415,MEDICINA 21 PHARMACY (SHARJAH),"SAFEER MARKET, KING FAISAL, SHARJAH - ",06 530 3890
4416,MEDICINA 22 PHARMACY (SHARJAH),"SAFEER MARKET,NEXT TO KALBA HEALTH COMPLEX, KALBA, SHARJAH - ",09 277 0371
4417,MEDICINA 23 PHARMACY (SHARJAH),"CENTRAL SHARJAH SHOP #02, SHEIKH RASHID BIN SAQR ALQASIMI STREET, HALWAN SUBURB, SAMNAN SHARJAH - ",065303980
4418,MEDICINA 24 PHARMACY (SHARJAH),"AL QASIMIYA, AL NAD, SHARJAH - ",06 572 3255
4441,NEW CITY PHARMACY (SHARJAH),"Buhaira Corniche, Sharjah - ",06-5593636
4443,ABE AL FIDA PHARMACY (SHARJAH),"Al Buteena ,Old Muroor Road,Near Anjad Police Station, Sharjah - ",06 565 8008
4463,AL AQSA PHARMACY LLC (SHARJAH),"Back Side of W. Wilson Specialised Medical Centre, Al Nahda, Sharjah - ",00971 6 5774704
4477,AL FARAH PHARMACY (SHARJAH),"Nasser Al Shiba Building, AL NAHDA, SHARJAH - ",00971 6 5363707
4569,MEDICARE PHARMACY (SHARJAH),"SHEIKH KHALID BUILDING, AL OUROBA STREET, JUICE WORLD BUILDING, ROLLA , SHARJAH - ",06-5621796
4571,BAIT AL SHIFA PHARMACY (SHARJAH),"KALBA ROAD , NEAR NATIONAL PAINTS SHARJAH - ",06 5611892
4603,MEDICINA 25 PHARMACY (SHARJAH),"Al Wasit Street, Al Shahba Area, Sharjah - ",06 566 0741
4616,MAJID PHARMACY LLC (SHARJAH),"Behind Nbad Bank, Bank Street Rolla - ",065683422
4717,MEDICINA 30 PHARMACY(SHARJAH),iMall - Ithihad Road - Sharjah - ,06 524 8013
4722,AL FARDAN CENTRE PHARMACY LLC(SHARJAH),"Inside Al fardan centre,Buhaira Corniche Rd,Sharjah,Shop #G-16-20 - ",(06)-5752809
4723,AL MANSOOR PHARMACY (SHARJAH ),"Al Wahda St., Opp.Sharjah City Centre, Sharjah - ",(06)-5591700
4725,HALA PHARMACY LLC (SHARJAH ),"Shop #12,13 & 14,Opposite to Mega Mart, Al Qassimia Sharjah - ",(06)-5515213
4726,HALA PHARMACY LLC-BRANCH 1 (SHARJAH ),"Shop #1 & 2,KM Trading Shopping Centre, Abu Shaghara Sharjah - ",(06)-5485898
4727,HALA PHARMACY LLC-BRANCH 10 (SHARJAH ),"Hala Phy Br 10 - Showroom No 1, Bdng No 997, Al Nasserya, Sharjah - ",(06)-5239833
4728,HALA PHARMACY LLC-BRANCH 2 (SHARJAH ),"Shop #4 & 5,Near to Abu Shagara Park,Sharjah - ",(06)-5759287
4729,HALA PHARMACY LLC-BRANCH 3 (SHARJAH ),"Shop 02, Bufyeer 222 Bldg,Near Al Bustan Hotel,Al Qassimiya, Sharjah - ",(06)-5501340
4730,HALA PHARMACY LLC-BRANCH 4 (SHARJAH ),"Al Khaleej Bld, Near Sharjah Rotana Hotel,Arabian Golf Street,Sharjah - ",(06)-5627128
4731,HALA PHARMACY LLC-BRANCH 5 (SHARJAH ),"Hala Pharmacy Br 5, Shop No 1,2 &14, Rolla Building, Rolla, Sharjah - ",(06)-5218353
4732,HALA PHARMACY LLC-BRANCH 6 (SHARJAH ),"Shop #2, Corniche B Buildg, Buhaira Corniche,Sharjah - ",(06)-5372761
4733,HALA PHARMACY LLC-BRANCH 7 (SHARJAH ),"Hala Phy Br 7,Al Za'abi Bldg, Plot no 315, Jamal Abdul Nassar Street, Sharjah - ",(06)-5506126
4734,HALA PHARMACY LLC-BRANCH 8 (SHARJAH ),"Hala 8 Pharmacy - Shop No 4,Zubaidi Bldng, Al Majaz, Sharjah - ",(06)-5516022
4735,HALA PHARMACY LLC-BRANCH 9 (SHARJAH ),"Shop #1 & 2,Al Arouba Build,Al Arouba Street,Sharjah - ",(06)-5519865
4736,AL TAIF PHARMACY (SHARJAH ),"Shop #2 & 3, Nesto Hupermarket LLC-Branch 1, Muwailih Commercial, Sharjah - ",(06)-5505411
4737,AL BARSHA PHARMACY (SHARJAH ),"Shop #1, Emirates & Al Manama Centre,next to fire station Roundabout Sharjah - ",(06)-5754046
4738,SAHARA LIFE PHARMACY LLC (SHARJAH ),"B-04, Next to Spinneys, Sahara Centre, Dubai - ",(06)-5566349
4741,HALA PHARMACY LLC-BRANCH 19 (SHARJAH ),"Al Alami Centre, Shop No.4 & 5, Al Alami Centre -1 , Near Spinneys King Faisal Street, Sharjah - ",(06) - 556 0640
4743,NEW MEDICAL CENTRE PHARMACY LTD - SHJ.BR (SHARJAH),"Bel Rasheed Tower,1st & 2nd Floor, ALBuhaira corniche, Next to crystal plaza opp:Marbella Resort - ","06-7147600 ,06-5914444"
4756,SUPERCARE PHARMACY-SCC (SHARJAH),SHARJAH - ,009716 - 5396211 (SHARJAH CITY CENTER)
4766,LULU AL FALAH PHARMACY LLC(SHARJAH),Lulu Hypermarket Sharjah - ,06-5362225
4795,IBN SINA 37 PHARMACY (SHARJAH),Al Taawin St.-Al Qimah Tower - ,06-5365825
4885,AL NAHR PHARMACY LLC (SHARJAH),"Muweilah, Maliha Road, Near Emirates Post, Sharjah - ",06-543 6355
4888,PHARMACY ONE LLC (SHARJAH),Al Sharq Street after Heera Police Station Roundabout Opp. of KFC & ADNOC - ,065557040
4897,IBN SINA AL KUBRA PHARMACY (SHARJAH),AbdulAziz Al Majid - Al Majaz - Al Majaz 3 - Sharjah - ,06-574-8448
4898,IBN SINA CENTRAL PHARMACY (SHARJAH),"King Faisal Road,Spinney�s Same Building, Sharjah - ",06-574-4066
4900,IBN SINA PHARMACY-SHJ.LLC (SHARJAH),Corniche Plaza - ,06-5726885
4907,IBN SINA NEW PHARMACY - MEGA MALL (SHARJAH),"Ground Floor, Mega Mall - Al Estiqlal St - Al Bu Daniq - Sharjah - ",04-295-8820
4927,ASTER PHARMACY 153 (SHARJAH),"Mubarak Building, University Road, Muweilah,  Sharjah, U.A.E - ",06 5220938
4956,BADAR PHARMACY LLC(SHARJAH),"Ahalya Exchange Building, Rolla, Sharjah - ",06-5614751
4978,EXPERTS PHARMACY(SHARJAH),Near Al Nassiraya police stn - Sharjah - ,06-5654635
4979,SALIM PHARMACY(SHARJAH),"Near Smadi Sweets, Al Buhairah - Sharjah - ",06-5736262
4980,WASEEM PHARMACY(SHARJAH),"Dafco Building, Taawun Area - Sharjah - ",06-5770930
4981,AL HARAMAIN PHARMACY(SHARJAH),"Al Nahda Tower, Al Nahadah - Sharjah - ",06-5316779
4982,AL MAWADAH PHARMACY(SHARJAH),Immigration Road - Sharjah - ,06-5744878
4983,AL MANARAH PHARMACY(SHARJAH),"Opp. Taawun Mall, Taawun Area - Sharjah - ",06-5774665
4986,ASTER PHARMACY (SHARJAH)(SHARJAH),"Beside Nahda Park, Opposite To Carrefour Express, Al Nahda - ",06-5253663
4987,AL SHUALLA  PHARMACY(SHARJAH),"Safeer Mall, Al Nahda, Near To Al Khan Bridge,Sharjah - ",06-5313648
4988,MEDICOM PHARMACY 17 (AL ANSAR  PHARMACY)(SHARJAH),"Ansar Mall, Al Nahada Road, Sharjah - ",06-5313256
4994,CRISTAL PHARMACY (SHARJAH),"Al Shamsi Blg.,Shop 4, Al Tawoon Area, Sharjah - ",06-5773100
4995,ASTER AL BUHAIRAH PHARMACY(SHARJAH),"Lagoon Tower, Shop No.1, Buhairah Corniche, Sharjah, Uae - ",06-5444542
4996,ASTER PHARMACY 107(SHARJAH),"Hassan Baba Hassan Building, Groud Floor, King Faisal Road, Sharjah - ",06-5734704
4997,ASTER PHARMACY 121(SHARJAH),"Silver Sand Building, , Al Nahda,Opp Juma Al Majid Building - ",06-5544504
4998,ASTER PHARMACY 106(SHARJAH),"Goldensands Building, Al Ittihad Road ,Al Nahda, Near To Shafeer Mall - ",06-5749669
5002,ASTER PHARMACY 108(SHARJAH),"""Ibrahim Mohamed Al Medfaa Street, Next To Sata, Um Al Tarafa Area, Rolla, - ",06-5610012
5003,ASTER PHARMACY 125(SHARJAH),"Al Deyar Buiding, Near Tawoun R/A, Al Tawoun, Sharjah - ",06-5303016
5004,ASTER PHARMACY 122(SHARJAH),"Shop No 2, Aster Building, Near Aster Clinic, Near Abu Shagara Park, Abu Shagara - ",06-5570996
5005,ASTER PHARMACY 133(SHARJAH),"Al Sharq Street,Next To Fine Fair, Butina, Opp: Sharjah Cop Soceity - ",06-5619322
5006,ASTER PHARMACY 139 (SHARJAH),"Sheikh Khalid Road, Opp. To Adnoc Petrol Station, Next To Khorfakkan Police Station Round About - ",09-2371301
5007,ASTER PHARMACY 151 (SHARJAH),"Shop No.4, Mamzer 1 Tower, Opp. Sharjah Palace Hotel, Tawun Street, Al Tawoon - ",06-5453109
5009,ASTER PHARMACY 140(SHARJAH),"Sultaco Building, King Faisal Street, Al Majaz, Sharjah - ",06- 5445001
5013,AL MAJAZ PHARMACY(SHARJAH),"Jamal Abdul Nasir St, Majaz - Sharjah - ",06-5599799
5045,NMC ROYAL HOSPITAL LTD - SHJ.BR PHARMACY (SHARJAH),"Clock Tower , Al Zahra Street, Al Ghuwair, Sharjah - ",06-5168853
5050,PALMYRA PHARMACY(SHARJAH),Al Khan Area - New Al Taawun Zone - Bin Baz Street - Al Baker 4 - 77 - 1 - ,065362100
5063,AL SAHA PHARMACY LLC (SHARJAH),"Al Muwailah Fire Station Road, Sharjah - ",06-5426630
5064,GOLDEN LIFE PHARMACY (SHARJAH),"Between Tawun Mall & Qasba Channel, Sharjah - ",06-577 5501
5065,HALA PHARMACY LLC-BRANCH 12 (SHARJAH),"Shop No 1,  Manazil Tower 1, Plot no 89, Al Qassimiya, Sharjah - ",06-5519931
5066,HALA PHARMACY LLC-BRANCH 11(SHARJAH),"Shop No 1, Buf Year 222 Bld, Plot No 374, Al Qassimiya, Sharjah - ",06-5454123
5067,ALNAJIM ALAZRAQ PHARMACY(SHARJAH),"Shop No.1Damas 57 Bldg Al Nahda Area; Next to Ansar Mall, Al Ittihad Road, Sharjah - ",06-5288851
5068,HALA PHARMACY LLC-BRANCH 18(SHARJAH),"Shop G2, Salem Tower (Plot 430), Near United Arab Bank,Opp. to Al Noor Mosque, Al Majaz 1, Sharjah - ",06- 5561718
5072,MEENA PHARMACY LLC(SHARJAH),"Mina Street, Near Sata , Sharjah, UAE - ",065625055
5112,AL USRAH MODERN PHARMACY LLC(SHARJAH),"Shop 3&4, Roomi Bldg.,Ground Fl.,Opp.ADNOC/Zulekha Hosp.,Al Zahra St.,Butina - ",06-5656105
5122,HALA PHARMACY LLC-BRANCH 26(SHARJAH),"G09 & G10, My City Centre, Al Nasseriya, Sharjah - ",06-5220367
5131,LULU AL NAHDA PHARMACY LLC (SHARJAH),"Lulu Hypermarket, Al Nahda, Sharjah - ",009716 � 5454611
5195,ORIANA PHARMACY(SHARJAH),"Manazil Tower-2 Al Taawun Street, Al Khan Sharjah, UAE - ",06 5525770
5196,HAMAD AL IHTERAFEYA PHARMACY L.L.C (SHARJAH),Near Lulu Hypermarket- Maysloon Sharjah - ,"06-5014700 ,06-5914444"
5197,HAMAD AL MUMAYAZAH PHARMACY LLC (SHARJAH),Al Sharqan Extension- Towards Ajman - ,"06-5238054 ,06-5914444"
5198,HAMAD AL OULA PHARMACY L.L.C (SHARJAH),Opp Al Qassimi Hospital- Shahba Area - ,"06-5061600 ,06-5914444"
5271,AL SALAMAH PHARMACY LLC (SHARJAH),"Shop No:6, Muna Mahmood Bldg., Kalba -Maliha Rd. Industrial Area 15, Sharjah - ",06 5357255
5285,AL KARAZ PHARMACY (SHARJAH),"R & S Building , 1st  Floor, 42nd Street, Al Nadha, Sharjah - ",06 5668225
5302,AL ITEKAL PHARMACY LLC(SHARJAH),"Al Salam Tower,Shop No:2, Abu Shagarah, King Faisal Road, Sharjah - ",06-5531141
5303,MEDI PRIME AL NAHDA PHARMACY LLC(SHARJAH),"Al Roda Tower 2, Al Etihad Street, Malaka Street, Al Nahda, Sharjah, UAE - ",047070373
5306,AL UFUQ PHARMACY (SHARJAH),"Nesto Centre Building, Groud Floor, National Paints, Sharjah, UAE - ",06-5443771
5307,RUKN AL UFUQ PHARMACY (SHARJAH),"Wediyan Building, Near to Umiman Majid, Muweilah, University Area, Sharjah - ",06-5500363
5329,HALA PHARMACY LLC BRANCH 27 (SHARJAH),"Ground Floor, Unit No.J-040, Matajer Al Juraina, Sharjah, UAE - ",04-3410008
5339,AL MUSALLA PHARMACY (SHARJAH),"SHAIKH ABDULLAH ALI AL MAHMOUD BUILDING, GROUND FLOOR - ",971 6 5616136
5370,AL SAIF PHARMACY (SHARJAH),"Shop No: 1, Al Nayeli 3, King Abdul Aziz Street, Near Liberty Signal, Abushagara, Sharjah - ",065533811
5371,SAIF AL KHAN PHARMACY LLC(SHARJAH),"Near Al Durrah International School, Al Khan Street,Industril Area 2,Sharjah - ",06-5391300
5373,AL DUNIA PHARMACY LLC (SHARJAH),"Al Shamsi Building,Shop No 11,Industrial Area No-12,Near Geco Signal, Sharjah - ",06-5620406
5382,MEDI PRIME AL QASIMIAH PHARMACY (SHARJAH),"AL QASIMIAH BUILDING,MASHREQ BANK,KING ABD.AZIZ ROAD, SHARJAH, UAE - ",009716-5752200
5383,MEDI PRIME AL MAJAZ PHARMACY (SHARJAH),"2ND FLOOR OF SAFEER MARKET BUILDING, KING FAISAL STREET, AL MAJAZ, SHARJAH, UAE - ",009716 - 5044044
5385,MEDCARE HOSPITAL LLC PHARMACY(SHARJAH),"KING FAISAL STREET, SHARJAH, UAE - ",06-5949701
5386,HALA PHARMACY LLC-BRANCH 20(SHARJAH),"Unit B051, Sharjah City Centre ,Sharjah - ",06-5226348
5391,SAUDI GERMAN HOSPITAL PHARMACY SHARJAH(SHARJAH),"Plot No. 267, 36.60 Street , Sh. Mohammad Bin Sagr Al Qasimi, Near Sharjah Ladies Club, Sharjah - ",800-744823
5436,AL NEEL PHARMACY LLC (SHARJAH),"AL SAFA TOWER, AL NAHDA, SHARJAH - ",06-562 2106
5439,TULIP PHARMACY LLC (SHARJAH),"SHEIK ABDUL AZIZ AL MAJID BUILDING, SHEIK SAQER BIN KHALID AL QASSIMI STREET, SHARJAH - ",06-575 5069
5440,AL AHRAR PHARMACY (SHARJAH),"SHEIK REDA HASAN MUKHTAR BUILDING, MALEHA STREET, MUWEILA, SHARJAH - ",06-5520003
5503,ORCHID PHARMACY LLC AL KHAN(SHARJAH),"AL KHAN PALACE BUILDING, NEAR BY PETROFAC,, SHARJAH - ",06 555 9337
5504,AL NADIA PHARMACY LLC AL QASIMIYA(SHARJAH),"AL HABTOOR BUILDING, 2, SUHAIL BIN HUNAIF STREET, ALNAD - AL QASIMIYA, SHARJAH",06 575 9745
5511,DEIRAH PHARMACY LLC(SHARJAH),"First Floor, Al Mubarak Center Building, Al Sharq Street, Al Nabba, Sharjah - ",06-5631359
5523,LAMIA PHARMACY (SHARJAH),"SHOP NO.5 GROUD FLOOR KHANSAHEH BUILDING CORNICHE ROAD AL SHUWAIHEEN AREA , SHARJAH - ",06-5680781
5556,ZULEKHA HOSPITAL PHARMACY SHARJAH(SHARJAH),"Al Zahra Street, Nasserya, PO Box 457 - ",06 5060 000
5578,THUMBAY PHARMACY - SHARJAH(SHARJAH),"AL QULAYAA STREET, AL QULAYA BUILDING CITY, SHARJAH - ",06-7487812
5579,THUMBAY PHARMACY LLC BR 1 SHARJAH,NEXT TO JESCO SUPERMARKET YARMOUK SHARJAH -PO BOX:61351 - ,06-5668375
5580,THUMBAY PHARMACY LLC BR 2 SHARJAH,SAMNAN AL FARIS BUILDING AL WASIT STREET P.O BOX #61351 SHARJAH - ,06-56143619
5581,THUMBAY PHARMACY LLC BR 4 SHARJAH,STREET :KING FAISAL ROAD SHJ  AREA:AL MAJAZ 1 BUILDING NAME : DELMA HOUSE STATE : SHARJAH - ,06-5518509
5582,THUMBAY PHARMACY LLC BR. 5 - SHARJAH,"THUMBAY BUILDING, AL OROUBA STREET,OPPOSITE AL KABAEL CENTRE NEAR ROLLA MALL ROLLA-SHARJAH - ",06 5671482
5583,THUMBAY PHARMACY LLC BRANCH 6 SHARJAH(SHARJAH),"NEXT TO ADNOC PETROL STATION, OPPOSITE OLD MILITARY CAMP,  UNIVERSITY CITY ROAD, SHARJAH - ",06-5356789
5584,THUMBAY PHARMACY LLC BRANCH-7 SHARJAH(SHARJAH),"MUWAILAH. STREET, W2-037 CITY, NEAR UNIVERITY OF SHARJAH FOR WOMEN. STATE, SHARJAH - ",06-5053255
5585,THUMBAY PHARMACY LLC BR 8 SHARJAH(SHARJAH),"MUWALLEIH STREET,  MALIHA STREET, M2-038, NEAR UNIVERSITY OF SHARJAH FOR MEN, SHARJAH - ",06-5166255
5586,THUMBAY PHARMACY LLC BRANCH 9 SHARJAH(SHARJAH),"AL MAJAZ NO-2 STREET, AL WAHDA STREET, WAY-IN BUILDING, PO BOX-39845, SHARJAH - ",06-5370499
5587,THUMBAY PHARMACY LLC BRANCH 10 - SHARJAH(SHARJAH),"AL BARAHA ST., AL WAHDA ST., SHAIKHA VWAGE BLDG., NEAR RAK BANK KALBA, POBOX-11171,  SHARJAH - ",09-2774070
5588,THUMBAY PHARMACY LLC BRANCH 11 - SHARJAH(SHARJAH),"ABU SHAGARA STREET : S116-AL WIHDA STREET, OBEID SAEED BLDG NO-4, BEHIND KM TRADING,  POBOX-30484, SHARJAH - ",06-5356497
